"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5366","invalid username — login redirects to login page and dashboard returns 401","","2026-03-24","passed","2026-03-24","","Auth API","",""
"","2731","redirects unauthenticated request to login page — /web/index.php/leave/viewLeaveList","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","Unauthenticated Access","",""
"","2656","redirects unauthenticated request to login page — /web/index.php/admin/viewSystemUsers","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","Unauthenticated Access","",""
"","4578","dashboard widgets load without errors","","2026-03-24","passed","2026-03-24","","Navigation and UI Validation","",""
"","16256","[img onerror] API rejects or stores firstName as literal string","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","XSS — Name Fields","",""
"","8754","dashboard loads in under 3 seconds after submitting credentials","Performance Benchmarks","2026-03-24","failed","2026-03-24","","Page Load","",""
"","18258","[script tag] API rejects or stores firstName as literal string","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","XSS — Name Fields","",""
"","4376","password does not appear in the URL after successful login","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","Sensitive Data in URLs","",""
"","1506","retrieves the employee by ID","","2026-03-24","passed","2026-03-24","","PIM Employee Management API","",""
"","5877","employee list page loads in under 3 seconds","Performance Benchmarks","2026-03-24","failed","2026-03-24","","Page Load","",""
"","8041","navigating to a protected page after logout redirects to login","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","Session Invalidation","",""
"","5169","[svg onload] API rejects or stores street1 as literal string","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","XSS — Address Fields","",""
"","9918","edits last name and middle name on personal details","","2026-03-24","passed","2026-03-24","","PIM - Employee Management","",""
"","18187","adds a new employee and navigates to personal details","","2026-03-24","passed","2026-03-24","","PIM - Employee Management","",""
"","3187","ESS user is denied access to admin API — System Users","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","Authorisation — ESS vs Admin","",""
"","2503","apply leave API responds in under 2 seconds","Performance Benchmarks","2026-03-24","passed","2026-03-24","","API Response Time","",""
"","3356","session does not persist after logout — dashboard returns 401","","2026-03-24","passed","2026-03-24","","Auth API","",""
"","4719","login page loads in under 2 seconds (TTFB + DOM)","Performance Benchmarks","2026-03-24","failed","2026-03-24","","Page Load","",""
"","6973","[attribute escape + script] API rejects or stores street1 as literal string","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","XSS — Address Fields","",""
"","12110","logs in with valid credentials and loads dashboard","","2026-03-24","passed","2026-03-24","","Auth and Navigation","",""
"","2127","shows validation errors when fields are empty","","2026-03-24","passed","2026-03-24","","Auth and Navigation","",""
"","17723","Admin creates a new leave type","","2026-03-24","passed","2026-03-24","","Leave Lifecycle - UI","",""
"","17369","creates an employee, sees them in PIM, then in Time → Reports → Employee Report","2.3 Data Integrity Checks","2026-03-24","passed","2026-03-24","","Employee → Reports","",""
"","7067","[attribute escape + script] API rejects or stores firstName as literal string","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","XSS — Name Fields","",""
"","2817","create employee API responds in under 2 seconds","Performance Benchmarks","2026-03-24","passed","2026-03-24","","API Response Time","",""
"","10336","does not persist session after logout","","2026-03-24","passed","2026-03-24","","Auth and Navigation","",""
"","2423","updates last name and middle name via API","","2026-03-24","passed","2026-03-24","","PIM Employee Management API","",""
"","6797","shows error for invalid username","","2026-03-24","passed","2026-03-24","","Auth and Navigation","",""
"","6614","valid credentials — session cookie set and dashboard returns 200","","2026-03-24","passed","2026-03-24","","Auth API","",""
"","650","shows expected title on login page","","2026-03-24","passed","2026-03-24","","Auth and Navigation","",""
"","5440","[template literal injection] API rejects or stores firstName as literal string","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","XSS — Name Fields","",""
